thread_id,sample_idx,mode,n,scale,kl,chi,df,p_value,nonzero_bins
0,1,byte_hist,131072,1.2,0.0009705678867614247,305.3142577286243,255,0.9832208571812586,256
0,1,byte_hist,131072,1.2,0.0008899005179711763,279.93849765964325,255,0.8642276658599937,256
0,1,byte_hist,131072,1.2,0.000875763003381775,275.49122011021444,255,0.8195034616968362,256
0,1,byte_hist,131072,1.2,0.001132175455013247,356.1516029747911,255,0.9997612293341667,256
0,1,byte_hist,131072,1.2,0.0009687423389156697,304.7399900312512,255,0.9822565383807285,256
0,1,byte_hist,131072,1.2,0.0009670151437769266,304.19666142031036,255,0.9812998535723624,256
0,1,byte_hist,131072,1.2,0.0012079930942071335,380.00177002540175,255,0.9955406433158565,256
0,1,byte_hist,131072,1.2,0.0009462173006340547,297.65422566889634,255,0.9657572154178264,256
0,1,byte_hist,131072,1.2,0.0011360536031976513,357.3715629079741,255,0.9997249299540741,256
0,1,byte_hist,131072,1.2,0.0009968062969361543,313.56814788483746,255,0.9927947281906229,256
0,1,byte_hist,131072,1.2,0.0009358990742070712,294.40839229072617,255,0.9546413825953668,256
0,1,byte_hist,131072,1.2,0.0009717871266060078,305.69779742040635,255,0.9838390045468234,256
0,1,byte_hist,131072,1.2,0.0009156661332302445,288.04365939541105,255,0.9241569320911588,256
0,1,byte_hist,131072,1.2,0.0009273171115902343,291.70874028085245,255,0.9432478338920732,256
0,1,byte_hist,131072,1.2,0.001158051435354683,364.29148256354165,255,0.9993312378755754,256
0,1,byte_hist,131072,1.2,0.0010338002193839993,325.20542965223893,255,0.9980784415195457,256
0,1,byte_hist,131072,1.2,0.0009319112598478685,293.15393436187156,255,0.9496079252291048,256
0,1,byte_hist,131072,1.2,0.0009231206807603016,290.3886572846742,255,0.9368802025385089,256
0,1,byte_hist,131072,1.2,0.0009209837611734291,289.7164405068569,255,0.9334225986335087,256
0,1,byte_hist,131072,1.2,0.0008847898432505016,278.3308184028714,255,0.8490780765840863,256
0,1,byte_hist,131072,1.2,0.0010578981115584001,332.7859710676383,255,0.9992457079084757,256
0,1,byte_hist,131072,1.2,0.0009233304531613423,290.4546459762323,255,0.9372116627886199,256
0,1,byte_hist,131072,1.2,0.0009841344534297816,309.58193059187596,255,0.9890554477349699,256
0,1,byte_hist,131072,1.2,0.0007994513809299904,251.48565936301367,255,0.4495579571363331,256
0,1,byte_hist,131072,1.2,0.0009836879287117837,309.4414660610662,255,0.988896717656696,256
0,1,byte_hist,131072,1.2,0.0009547442176086024,300.3365618169473,255,0.97311399111845,256
0,1,byte_hist,131072,1.2,0.000960792803508532,302.2392824195287,255,0.9774701698670425,256
0,1,byte_hist,131072,1.2,0.0008626633408292642,271.3704225820159,255,0.7701405511415292,256
0,1,byte_hist,131072,1.2,0.0010010958672458036,314.9175300279407,255,0.9937709650682088,256
0,1,byte_hist,131072,1.2,0.0011082895563916922,348.6377489648925,255,0.999847216237802,256
0,1,byte_hist,131072,1.2,0.0010686137595431302,336.1568224580092,255,0.9995078693333598,256
0,1,byte_hist,131072,1.2,0.0009645963063920488,303.4357609714047,255,0.9798844723244307,256
0,1,byte_hist,131072,1.2,0.0010423481489937397,327.89437580377785,255,0.9986127767509005,256
0,1,byte_hist,131072,1.2,0.001034340590176335,325.3754156054222,255,0.9981172129666307,256
0,1,byte_hist,131072,1.2,0.0010204052174068428,320.99172637427927,255,0.9968458121564232,256
0,1,byte_hist,131072,1.2,0.0009859543141501263,310.15440927428483,255,0.9896816600118236,256
0,1,byte_hist,131072,1.2,0.000918743275829194,289.01164475876186,255,0.9296357871800749,256
0,1,byte_hist,131072,1.2,0.0011288862928954967,355.11692203775647,255,0.9997863256110078,256
0,1,byte_hist,131072,1.2,0.0010252463545146263,322.5146164294586,255,0.997357323452563,256
0,1,byte_hist,131072,1.2,0.0009317836660548218,293.11379682513024,255,0.9494395633422205,256
0,1,byte_hist,131072,1.2,0.0009154953411504246,287.9899328526443,255,0.9238432102722929,256
0,1,byte_hist,131072,1.2,0.0009395194560574736,295.5472659464764,255,0.9588423487385582,256
0,1,byte_hist,131072,1.2,0.0009224498372559465,290.1776281651474,255,0.9358107156549378,256
0,1,byte_hist,131072,1.2,0.0009380733527068805,295.09236116639096,255,0.9572050860078571,256
0,1,byte_hist,131072,1.2,0.0008641966870643776,271.85277160056506,255,0.7763088593124708,256
0,1,byte_hist,131072,1.2,0.0008869965492854905,279.02498809907473,255,0.8557593228450732,256
0,1,byte_hist,131072,1.2,0.0008941008247999702,281.259799939636,255,0.8758334576548029,256
0,1,byte_hist,131072,1.2,0.0010517676102681068,330.8574821113471,255,0.9990387959215903,256
0,1,byte_hist,131072,1.2,0.0009754120536702366,306.8381008767966,255,0.9855601852700502,256
0,1,byte_hist,131072,1.2,0.0010775633409074118,338.97211732659906,255,0.9996539730168328,256
0,1,byte_hist,131072,1.2,0.0009804227731910033,308.41433694645883,255,0.9876723979391174,256
0,1,byte_hist,131072,1.2,0.0009165433854581166,288.319619085039,255,0.925752236097929,256
0,1,byte_hist,131072,1.2,0.0010184051998489312,320.36257525103787,255,0.9966090895135532,256
0,1,byte_hist,131072,1.2,0.0010168441811665627,319.87152123327286,255,0.9964131220734115,256
0,1,byte_hist,131072,1.2,0.001033710233339277,325.1771224901897,255,0.9980719134845794,256
0,1,byte_hist,131072,1.2,0.0010405574893222393,327.3310829770669,255,0.9985139079932985,256
0,1,byte_hist,131072,1.2,0.0008609218726790708,270.8226040698988,255,0.7630119281583181,256
0,1,byte_hist,131072,1.2,0.0008127168608059644,255.65861851094246,255,0.5233880435763963,256
0,1,byte_hist,131072,1.2,0.0011490133560040116,361.4483486355787,255,0.9995388961948065,256
0,1,byte_hist,131072,1.2,0.0011590559589019088,364.60747834845836,255,0.9993031251456462,256
0,1,byte_hist,131072,1.2,0.0009290694723341577,292.2599853066785,255,0.9457470600404378,256
0,1,byte_hist,131072,1.2,0.0009421492156870033,296.37451679646455,255,0.9616854387690418,256
0,1,byte_hist,131072,1.2,0.0009419044101645927,296.29750763782437,255,0.9614279366855256,256
0,1,byte_hist,131072,1.2,0.0009382357341457912,295.14344195029713,255,0.9573916002376758,256
0,1,byte_hist,131072,1.2,0.001048199224412025,329.73496498111905,255,0.9988944971225994,256
0,1,byte_hist,131072,1.2,0.0009492519358499089,298.6088393657262,255,0.9685504959349396,256
0,1,byte_hist,131072,1.2,0.0009971305913036843,313.67016207205563,255,0.9928730891429497,256
0,1,byte_hist,131072,1.2,0.001095208855488581,344.5229162558383,255,0.9998108208876059,256
0,1,byte_hist,131072,1.2,0.0008208592728796477,258.2199998757148,255,0.5680781391007286,256
0,1,byte_hist,131072,1.2,0.0009783934142002545,307.77595580653383,255,0.9868524132966483,256
0,1,byte_hist,131072,1.2,0.0010279294473124736,323.3586444435373,255,0.9976067335585376,256
0,1,byte_hist,131072,1.2,0.0010025632512490903,315.37912912252983,255,0.9940763837094796,256
0,1,byte_hist,131072,1.2,0.0010971306385182274,345.1274569244666,255,0.9998198916786926,256
0,1,byte_hist,131072,1.2,0.0009833257013591296,309.32751918850516,255,0.9887664510954657,256
0,1,byte_hist,131072,1.2,0.0010928250062593736,343.7730221290287,255,0.999797642501578,256
0,1,byte_hist,131072,1.2,0.0011408467796657604,358.8793658504413,255,0.9996687905790008,256
0,1,byte_hist,131072,1.2,0.0008716485845322697,274.1969358523528,255,0.8048183980978735,256
0,1,byte_hist,131072,1.2,0.0009186089491580242,288.9693892416973,255,0.9294033962404323,256
