Model,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,DeathCount
G1_W3_1766901150.pt,0.8693487110229876,0.02491651609887565,0.0895110375608269,0.7497870757504954,0.9132239571272068,4.767590416789283e-97,0.8777578289978127,0.9108716794504895,0.34113792443234037,0.28795493275915374,0.8973693487704417,0.4356435755082038,0.2600262689653703,4.44389781305111e-38,0.16782519408911,6
G1_W3_1766907917.pt,0.6762827999719396,0.10217710462209809,0.5707455943687532,0.2632338686132887,0.6657124729296016,0.0,0.9109558162280675,0.5041180242129616,0.07319278491144116,0.20726895275766472,0.5879900188992719,0.80470451797921,0.14780581621256683,1.0,1.0,5
G1_W3_1766904882.pt,0.8554260285943796,0.09908094721315332,0.898329545841198,0.7628849875632142,0.020416177637242995,0.0,0.2309651896353229,0.5146766345817728,0.5803235275411031,0.7643082278759524,0.701509410197144,0.5167915875024343,0.18510649307855154,4.1237759667818675e-45,0.027738279744961854,4
G1_W3_1766906171.pt,0.044375886131792365,0.48131183940501426,0.06270888136147669,0.20821888162700714,0.34429943430174137,2.0186249010165293e-262,0.1887458195037117,0.14146278814845617,0.2966578652301586,0.4308495513099334,0.13160471231335066,0.47213221288920276,0.9944047628363144,1.0,1.0,5
G1_W4_1766908238.pt,0.039049550136917854,0.007666337801670905,0.04372798488189161,0.9486772503857059,0.9067617174040591,0.0,0.9461198142560148,0.9597911685629359,0.8974944480043436,0.6464045521138493,0.08547096511264454,0.012105841020226656,0.9953126023766203,1.0,1.0,4
G1_W4_1766893846.pt,0.6199028758101047,0.5489031288272651,0.8684753066601918,0.304047294797092,0.07651582597327115,1.3405184589941816e-143,0.6034926723538059,0.3049479336718154,0.30942701525378025,0.10082119833972746,0.18804753997786322,0.04886288396156436,0.48591398406322306,5.854655624201159e-47,0.23394993946968545,6
G1_W4_1766901056.pt,0.33624585186098166,0.21480292408572896,0.7075102639966395,0.8804167871185025,0.34675316105078424,0.0,0.7355040127060761,0.8916901329348011,0.7004070909317877,0.23396421615968413,0.8156681759803154,0.7816283998392624,0.8880029220632137,1.0,1.0,6
G1_W5_1766896101.pt,0.7875421069567207,0.050310986251266,0.48804792639687544,0.1508751701704702,0.46749672732679115,0.0,0.46409520255121084,0.42172618249953053,0.6958471801859335,0.790638683088974,0.10086549943238406,0.34556862405455474,0.1646258864585205,6.507771556006398e-69,0.1070132626029425,6
G2_W0_1766895394.pt,0.022606118037863786,0.1136908540565143,0.2256542679108543,0.8193381787570418,0.1913913833377912,8.567327443305736e-240,0.8537828573797233,0.17727566676035975,0.18910940057989722,0.7686747872610556,0.20945876680169356,0.29071045658919353,0.9977735758509478,1.0,1.0,6
G2_W0_1766890413.pt,0.29890185559172233,0.06831354720440715,0.7542002888950573,0.5319697215946331,0.07139700233920689,3.155712934198057e-243,0.3494976945543843,0.9265547059188971,0.20228254251186928,0.3467631828342471,0.4788729675414886,0.6416479603003064,0.814518949175968,1.0,1.0,5
G2_W0_1766894545.pt,0.7250283142368563,0.042189646556792054,0.9112812993472879,0.9046028972377259,0.07872129901126335,3.5341821897089517e-43,0.6669729746301768,0.6664759760125999,0.8183717806536452,0.9264241253519823,0.4072792582108165,0.7843280173658244,0.3079138597711566,2.02146022496361e-51,0.04751546138809778,5
G2_W0_1766896966.pt,0.4268502775822779,0.08482429014882291,0.20682436496441325,0.5870880069959676,0.972397012155661,0.0,0.6285895922625719,0.8116022714377158,0.09445327252806342,0.22304786112979424,0.7441671056953386,0.5463588720869441,0.6268492254062845,3.915270293743362e-43,0.34067588644834645,5
G2_W0_1766898909.pt,0.7749146813423966,0.005542667310832561,0.047691785685897055,0.2633418362186574,0.3569476587669661,6.712247365499983e-152,0.1705315008798519,0.26520781858609727,0.46861859098223,0.9507904095605945,0.38773431600154,0.5767736243446706,0.3628111406171093,1.1470086878742465e-21,0.2695998713537151,10
G2_W0_1766899079.pt,0.37510143962600373,0.15833712386776902,0.009026950096961627,0.7890096473525164,0.504872385900212,0.0,0.8969222917845883,0.9374827654009187,0.7839242043948592,0.5224355679037227,0.6739319547382036,0.5666919227253848,0.7240742196579617,1.0,1.0,5
G2_W0_1766902103.pt,0.773945755277069,0.01908808762527918,0.9294656936368936,0.6645794384907566,0.8409932356904981,4.767590416789283e-97,0.42133528125927033,0.8215301510242814,0.9375833422782006,0.34249145758589133,0.9588589245408417,0.9895097174515418,0.22170148557673564,1.5987546314420774e-54,0.020674095236796756,6
